name	teleno
Taffarello	706907931
Luxmoore	812295190
Spoole	875463531
St. Ledger	924459475
Kertess	594690580
Spadaro	568199521
Cartwright	850753356
Bischop	968974512
Hargrove	976539370
Bog	911347963
Quirk	629926077
Perigoe	639984221
Noah	705448069
Rozanski	783436377
MacVanamy	759269062
Romanelli	797744134
Pedrielli	767101423
Pesic	997321686
Stag	808019914
Grieswood	701586722
Yaxley	590541396
Dymidowicz	613433926
Branson	717572449
MacKellen	854171860
Bickers	954717420
Fruchon	882919138
Tuttiett	576023333
De Paoli	694963713
Junkison	898683824
Dennistoun	728810339
Willshire	683436628
Kilminster	951700797
Wormleighton	687157981
Wingham	651529177
Stileman	814889843
Bayle	663176880
Gellett	968964710
Ferreo	814912194
Lewis	854417328
Crickmer	845328908
Guidini	849552630
Joannic	943884468
MacRonald	890412263
Broomer	949630955
Doale	625152257
MacNamara	993284233
Tonn	751235175
Iacobucci	773588407
Kopmann	950099664
Sunners	710015724
Ballach	984082587
Howlin	813932412
Sanders	707994445
Center	911967271
Cannop	921127352
Myles	848386246
Beadnell	738836868
Tomney	595235241
Aveson	778882200
Harriagn	614908613
Conkling	722278756
Edlestone	572554174
Birden	842279088
Beal	985486094
Wegner	862310385
Foister	698253890
Tomasino	661178076
Yann	875484099
Brusin	920326661
Quinby	646846409
Buttriss	763639630
Minty	896129418
Kenningley	600726935
Woodbridge	967795708
Challener	799526564
Casley	691480422
Messom	889155765
Jaquet	599649228
Dowe	888430734
Ellerbeck	832247761
Rowbury	956165850
Glossop	812885011
Giddy	647175390
Holligan	964954722
Pendrick	645768160
James	759213217
Mearns	681456533
Linnett	672949585
Pidgen	840732296
Giacomi	812957240
Matysiak	646302827
Hedditch	880019823
Pletts	811747883
Lamputt	951449525
Corderoy	847083445
Presdie	895538453
Chantree	836134386
MacNess	816833531
Ivashinnikov	821953444
Nutbean	715400327
Kenewell	585864880
Tomsett	697468776
Caustick	830928612
Izakovitz	593006403
Battlestone	901978217
Camelin	944178191
Rickasse	610918740
Bifield	973948106
Gillions	856980363
Dawson	937076941
Edmonson	731184752
Huskisson	836914093
Patriche	618115790
Bettaney	758780250
Shoubridge	764783667
Lester	720414971
Merrilees	929001962
Tottman	785863594
Boullin	820830792
Drysdall	880928923
Havick	565738445
Tremellier	776745716
Wallen	907487615
Caramuscia	951305320
Hugonnet	931981926
Dunnion	994852041
Rendell	959005567
